"(4, 4)",2.588634967803955,True,6,12507
0,1.7537891864776611,True,9,11470
1,1.980738878250122,True,9,12478
2,1.3723821640014648,True,6,8714
3,2.752216100692749,False,,15162
4,1.602797031402588,True,9,9940
5,1.4520869255065918,True,9,9036
6,1.995727777481079,False,,10611
7,2.255863666534424,True,3,17161
8,3.17578125,True,12,22681
9,1.744744062423706,False,,10479
10,1.5841319561004639,True,6,11040
11,1.684589147567749,True,6,10977
12,2.5460281372070312,False,,17612
13,1.4817180633544922,True,9,9170
14,1.4635708332061768,True,6,10143
15,2.114945888519287,True,6,14138
